Cpu,mae,mse,rmse,File,c,epison,cs,iterations
0.02808299999999997,0.09707119165967272,0.010640054305643541,0.10315063890080148,strogatz_vdp2.csv,5310.51,11.08,0.63,798
0.017208,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,5069.42,72.71,0.68,38
0.01746700000000001,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,232.15,75.81,0.96,240
0.027152999999999983,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,5487.92,88.91,0.48,417
0.03829400000000005,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,5181.09,63.15,0.69,713
0.020401,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,9038.01,32.16,0.93,39
0.025269000000000097,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,4200.98,85.5,0.14,230
0.029732000000000088,0.09707119165967272,0.010640054305643541,0.10315063890080148,strogatz_vdp2.csv,1956.73,8.97,0.16,303
0.026742000000000044,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,7843.38,57.55,0.71,358
0.01852600000000004,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,1764.61,92.11,0.06,574
0.02387499999999998,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,111.6,54.33,0.63,85
0.01965099999999997,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,1321.57,48.31,0.27,415
0.024440000000000017,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,4362.05,92.84,0.82,591
0.021052000000000067,0.09707119165967272,0.010640054305643541,0.10315063890080148,strogatz_vdp2.csv,4516.87,13.77,0.73,655
0.021202000000000054,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,3007.96,83.0,0.72,37
0.028887,0.09707119165967272,0.010640054305643541,0.10315063890080148,strogatz_vdp2.csv,8462.34,16.04,0.7,541
0.023203000000000085,0.0970711916596722,0.010640054305643432,0.10315063890080096,strogatz_vdp2.csv,7536.28,16.73,0.41,600
0.015414999999999957,0.0970711916596722,0.010640054305643432,0.10315063890080096,strogatz_vdp2.csv,2359.71,19.55,0.02,707
0.015089999999999937,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,5958.27,62.27,0.09,995
0.01861299999999999,2.1079949774630227,5.523779951972675,2.3502723144292608,strogatz_bacres2.csv,7835.71,58.48,0.32,997
0.01960700000000004,2.1079949774630227,5.523779951972675,2.3502723144292608,strogatz_bacres2.csv,9661.79,51.04,0.7,21
0.023807000000000026,2.1079949774630227,5.523779951972675,2.3502723144292608,strogatz_bacres2.csv,5310.51,11.08,0.63,798
0.027237999999999984,2.1079949774630227,5.523779951972675,2.3502723144292608,strogatz_bacres2.csv,7129.93,70.31,0.56,259
0.019762000000000057,2.1079949774630227,5.523779951972675,2.3502723144292608,strogatz_bacres2.csv,232.15,75.81,0.96,240
0.02704300000000004,2.1079949774630227,5.523779951972675,2.3502723144292608,strogatz_bacres2.csv,5069.42,72.71,0.68,38
0.022294999999999957,2.1079949774630227,5.523779951972675,2.3502723144292608,strogatz_bacres2.csv,5487.92,88.91,0.48,417
0.029501999999999917,2.1079949774630227,5.523779951972675,2.3502723144292608,strogatz_bacres2.csv,5181.09,63.15,0.69,713
0.01652700000000007,2.1079949774630227,5.523779951972675,2.3502723144292608,strogatz_bacres2.csv,9038.01,32.16,0.93,39
